"Time" "Power"
"(15-05-07 15:35:43)" 0
"(15-05-07 15:30:43)" 0
"(15-05-07 15:25:43)" 0
"(15-05-07 15:20:43)" 0
"(15-05-07 15:15:43)" 0
"(15-05-07 15:10:43)" 16
"(15-05-07 15:05:43)" 128
"(15-05-07 15:00:43)" 458
"(15-05-07 14:55:43)" 517
"(15-05-07 14:50:43)" 667
"(15-05-07 14:45:43)" 807
"(15-05-07 14:40:43)" 762
"(15-05-07 14:35:43)" 1080
"(15-05-07 14:30:43)" 875
"(15-05-07 14:25:43)" 1148
"(15-05-07 14:20:43)" 1321
"(15-05-07 14:15:43)" 1446
"(15-05-07 14:10:43)" 1037
"(15-05-07 14:05:43)" 810
"(15-05-07 14:00:43)" 1750
"(15-05-07 13:55:43)" 1785
"(15-05-07 13:50:43)" 1999
"(15-05-07 13:45:43)" 1522
"(15-05-07 13:40:43)" 395
"(15-05-07 13:35:43)" 254
"(15-05-07 13:30:43)" 270
"(15-05-07 13:25:43)" 487
"(15-05-07 13:20:43)" 688
"(15-05-07 13:15:43)" 993
"(15-05-07 13:10:43)" 1294
"(15-05-07 13:05:43)" 1559
"(15-05-07 13:00:43)" 2374
"(15-05-07 12:55:43)" 1450
"(15-05-07 12:50:43)" 1697
"(15-05-07 12:45:43)" 654
"(15-05-07 12:40:43)" 520
"(15-05-07 12:35:43)" 433
"(15-05-07 12:30:43)" 589
"(15-05-07 12:25:43)" 531
"(15-05-07 12:20:43)" 518
"(15-05-07 12:15:43)" 626
"(15-05-07 12:10:43)" 887
"(15-05-07 12:05:43)" 942
"(15-05-07 12:00:43)" 626
"(15-05-07 11:55:43)" 617
"(15-05-07 11:50:43)" 604
"(15-05-07 11:45:43)" 611
"(15-05-07 11:40:43)" 967
"(15-05-07 11:35:43)" 1205
"(15-05-07 11:30:43)" 1201
"(15-05-07 11:25:43)" 2358
"(15-05-07 11:20:43)" 2322
"(15-05-07 11:15:43)" 887
"(15-05-07 11:10:43)" 1051
"(15-05-07 11:05:43)" 936
"(15-05-07 11:00:43)" 608
"(15-05-07 10:55:43)" 566
"(15-05-07 10:50:43)" 721
"(15-05-07 10:45:43)" 1259
"(15-05-07 10:40:43)" 894
"(15-05-07 10:35:43)" 692
"(15-05-07 10:30:43)" 731
"(15-05-07 10:25:43)" 646
"(15-05-07 10:20:43)" 981
"(15-05-07 10:15:43)" 775
"(15-05-07 10:10:43)" 760
"(15-05-07 10:05:43)" 575
"(15-05-07 10:00:43)" 496
"(15-05-07 09:55:43)" 682
"(15-05-07 09:50:43)" 795
"(15-05-07 09:45:43)" 493
"(15-05-07 09:40:43)" 683
"(15-05-07 09:35:43)" 707
"(15-05-07 09:30:43)" 708
"(15-05-07 09:25:43)" 542
"(15-05-07 09:20:43)" 527
"(15-05-07 09:15:43)" 874
"(15-05-07 09:10:43)" 1866
"(15-05-07 09:05:43)" 1965
"(15-05-07 09:00:43)" 1051
"(15-05-07 08:55:43)" 2030
"(15-05-07 08:50:43)" 2139
"(15-05-07 08:45:43)" 1926
"(15-05-07 08:40:43)" 1881
"(15-05-07 08:35:43)" 1730
"(15-05-07 08:30:43)" 1659
"(15-05-07 08:25:43)" 975
"(15-05-07 08:20:43)" 577
"(15-05-07 08:15:43)" 1057
"(15-05-07 08:10:43)" 1299
"(15-05-07 08:05:43)" 1305
"(15-05-07 08:00:43)" 1267
"(15-05-07 07:55:43)" 1245
"(15-05-07 07:50:43)" 1120
"(15-05-07 07:45:43)" 1012
"(15-05-07 07:40:43)" 523
"(15-05-07 07:35:43)" 1215
"(15-05-07 07:30:43)" 802
"(15-05-07 07:25:43)" 341
"(15-05-07 07:20:43)" 391
"(15-05-07 07:15:43)" 693
"(15-05-07 07:10:43)" 569
"(15-05-07 07:05:43)" 317
"(15-05-07 07:00:43)" 224
"(15-05-07 06:55:43)" 230
"(15-05-07 06:50:43)" 190
"(15-05-07 06:45:43)" 122
"(15-05-07 06:40:43)" 56
"(15-05-07 06:35:43)" 126
"(15-05-07 06:30:43)" 138
"(15-05-07 06:25:43)" 46
"(15-05-07 06:20:43)" 53
"(15-05-07 06:15:43)" 7
"(15-05-07 06:10:43)" 0
"(15-05-07 06:05:43)" 0
"(15-05-07 06:00:43)" 0
"(15-05-07 05:55:43)" 0
"(15-05-07 05:50:43)" 0
"(15-05-07 05:45:43)" 0
"(15-05-07 05:40:43)" 0
"(15-05-07 05:35:43)" 0
"(15-05-07 05:30:43)" 0
"(15-05-06 14:55:43)" 0
"(15-05-06 14:50:43)" 0
"(15-05-06 14:45:43)" 0
"(15-05-06 14:40:43)" 0
"(15-05-06 14:35:43)" 0
"(15-05-06 14:30:43)" 0
"(15-05-06 14:25:43)" 0
"(15-05-06 14:20:43)" 0
"(15-05-06 14:15:43)" 0
"(15-05-06 14:10:43)" 3
"(15-05-06 14:05:43)" 8
"(15-05-06 14:00:43)" 0
"(15-05-06 13:55:43)" 5
"(15-05-06 13:50:43)" 12
"(15-05-06 13:45:43)" 37
"(15-05-06 13:40:43)" 46
"(15-05-06 13:35:43)" 40
"(15-05-06 13:30:43)" 16
"(15-05-06 13:25:43)" 14
"(15-05-06 13:20:43)" 46
"(15-05-06 13:15:43)" 124
"(15-05-06 13:10:43)" 190
"(15-05-06 13:05:43)" 157
"(15-05-06 13:00:43)" 234
"(15-05-06 12:55:43)" 319
"(15-05-06 12:50:43)" 249
"(15-05-06 12:45:43)" 333
"(15-05-06 12:40:43)" 315
"(15-05-06 12:35:43)" 454
"(15-05-06 12:30:43)" 507
"(15-05-06 12:25:43)" 497
"(15-05-06 12:20:43)" 1231
"(15-05-06 12:15:43)" 620
"(15-05-06 12:10:43)" 637
"(15-05-06 12:05:43)" 553
"(15-05-06 12:00:43)" 454
"(15-05-06 11:55:43)" 394
"(15-05-06 11:50:43)" 430
"(15-05-06 11:45:43)" 377
"(15-05-06 11:40:43)" 473
"(15-05-06 11:35:43)" 511
"(15-05-06 11:30:43)" 495
"(15-05-06 11:25:43)" 390
"(15-05-06 11:20:43)" 288
"(15-05-06 11:15:43)" 195
"(15-05-06 11:10:43)" 372
"(15-05-06 11:05:43)" 710
"(15-05-06 11:00:43)" 641
