"Date" "Power" "Duration"
"2015-05-06" 2.25 488
"2015-05-05" 5.92 539
"2015-05-04" 13.49 562
"2015-05-03" 15.54 572
"2015-05-02" 15.66 570
"2015-05-01" 15.94 577
"2015-04-30" 16.59 581
"2015-04-29" 10.98 578
"2015-04-28" 13.83 587
"2015-04-27" 1.53 255
"2015-04-26" 1 516
"2015-04-25" 13.35 580
"2015-04-24" 16.85 594
"2015-04-23" 16.91 599
"2015-04-22" 5.66 580
"2015-04-21" 6 547
"2015-04-20" 14.07 606
"2015-04-19" 16.77 618
"2015-04-18" 15.82 601
"2015-04-17" 13.38 597
"2015-04-16" 17.33 616
"2015-04-15" 18.72 607
"2015-04-14" 18.69 633
"2015-04-13" 11.5 620
"2015-04-12" 13.97 584
"2015-04-11" 7.93 600
"2015-04-10" 6.22 561
"2015-04-09" 6.15 593
"2015-04-08" 2.94 576
"2015-04-07" 2.45 555
"2015-04-06" 9.94 625
"2015-04-05" 17.31 636
"2015-04-04" 8.65 640
"2015-04-03" 20.35 666
"2015-04-02" 20.16 644
"2015-04-01" 20.29 660
"2015-03-31" 20.13 659
"2015-03-30" 19.33 672
"2015-03-29" 8.97 655
"2015-03-28" 6.91 597
"2015-03-27" 20.21 670
"2015-03-26" 12.37 664
"2015-03-25" 10.94 673
"2015-03-24" 19.76 680
"2015-03-23" 7.72 639
"2015-03-22" 5.59 638
"2015-03-21" 22.03 688
"2015-03-20" 10.66 663
"2015-03-19" 22.69 691
"2015-03-18" 19.88 679
"2015-03-17" 13.02 599
"2015-03-16" 16.63 666
"2015-03-15" 20.39 712
"2015-03-14" 15.65 702
"2015-03-13" 17.76 710
"2015-03-12" 21.73 693
"2015-03-11" 20.01 694
"2015-03-10" 23.28 712
"2015-03-09" 23.63 716
"2015-03-08" 20.3 729
"2015-03-07" 6.14 615
"2015-03-06" 13.18 537
"2015-03-05" 18.48 712
"2015-03-04" 16.93 728
"2015-03-03" 21.05 714
"2015-03-02" 23.5 740
"2015-03-01" 24.25 744
"2015-02-28" 24.38 742
"2015-02-27" 24.58 758
"2015-02-26" 7.08 731
"2015-02-25" 22.55 766
"2015-02-24" 15.42 753
"2015-02-23" 9.57 737
"2015-02-22" 15.2 681
"2015-02-21" 19.62 754
"2015-02-20" 25.37 757
"2015-02-19" 23.14 745
"2015-02-18" 26.3 773
"2015-02-17" 25.98 764
"2015-02-16" 26.04 767
"2015-02-15" 26.6 772
"2015-02-14" 9.92 705
"2015-02-13" 23.61 761
"2015-02-12" 26.26 788
"2015-02-11" 26.97 787
"2015-02-10" 26.57 788
"2015-02-09" 16.71 762
"2015-02-08" 26.22 801
"2015-02-07" 26.19 802
"2015-02-06" 22.05 798
"2015-02-05" 23.22 784
"2015-02-04" 19.71 800
"2015-02-03" 27.6 805
"2015-02-02" 13.54 800
"2015-02-01" 5.17 729
"2015-01-31" 13.82 715
"2015-01-30" 18.14 801
"2015-01-29" 25.69 809
"2015-01-28" 26.71 805
"2015-01-27" 27.51 812
"2015-01-26" 27.9 818
"2015-01-25" 27.6 816
"2015-01-24" 28.35 828
"2015-01-23" 28.72 831
"2015-01-22" 28.17 838
"2015-01-21" 16.21 800
"2015-01-20" 27.57 823
"2015-01-19" 24.62 831
"2015-01-18" 25.34 833
"2015-01-17" 27.01 836
"2015-01-16" 20.05 826
"2015-01-15" 24.71 845
"2015-01-14" 20.04 830
"2015-01-13" 17.7 833
"2015-01-12" 26.82 825
"2015-01-11" 26.39 851
"2015-01-10" 28.51 845
"2015-01-09" 28.68 854
"2015-01-08" 15 785
"2015-01-07" 16.73 795
"2015-01-06" 26.6 842
"2015-01-05" 28.64 844
"2015-01-04" 26.15 863
"2015-01-03" 23.92 852
"2015-01-02" 29.56 851
"2015-01-01" 29.6 860
"2014-12-31" 4.04 735
"2014-12-30" 16.88 845
"2014-12-29" 13.86 842
"2014-12-28" 17.2 846
"2014-12-27" 18.85 836
"2014-12-26" 24.75 781
"2014-12-25" 28.31 845
"2014-12-24" 27.82 845
"2014-12-23" 28.59 855
"2014-12-22" 29.89 849
"2014-12-21" 25.44 851
"2014-12-20" 6.08 713
"2014-12-19" 15.09 831
"2014-12-18" 14.27 785
"2014-12-17" 6.56 783
"2014-12-16" 28.8 856
"2014-12-15" 29.71 860
"2014-12-14" 29.61 866
"2014-12-13" 11.74 846
"2014-12-12" 28.02 820
"2014-12-11" 15.19 839
"2014-12-10" 4.68 793
"2014-12-09" 22.89 857
"2014-12-08" 16.62 789
"2014-12-07" 16.55 850
"2014-12-06" 19.68 838
"2014-12-05" 9.65 735
"2014-12-04" 18.68 816
"2014-12-03" 22.31 818
"2014-12-02" 27 815
"2014-12-01" 16.87 794
"2014-11-30" 18.9 835
"2014-11-29" 23.16 824
"2014-11-28" 19.04 840
"2014-11-27" 16.12 838
"2014-11-26" 29.13 836
"2014-11-25" 8.4 836
"2014-11-24" 24.59 800
"2014-11-23" 28.17 806
"2014-11-22" 17.67 818
"2014-11-21" 18.77 794
"2014-11-20" 26.74 826
"2014-11-19" 20.23 830
"2014-11-18" 28.4 826
"2014-11-17" 10.41 800
"2014-11-16" 28.98 823
"2014-11-15" 29.37 806
"2014-11-14" 20.64 822
"2014-11-13" 22.63 815
"2014-11-12" 19.44 810
"2014-11-11" 22.92 786
"2014-11-10" 19.53 809
"2014-11-09" 27.55 803
"2014-11-08" 27.62 805
"2014-11-07" 24.94 800
"2014-11-06" 19.85 756
"2014-11-05" 17.23 799
"2014-11-04" 20.46 784
"2014-11-03" 23.82 784
"2014-11-02" 24.8 799
"2014-11-01" 26.69 780
"2014-10-31" 25.51 777
"2014-10-30" 28.21 765
"2014-10-29" 16.71 745
"2014-10-28" 16.65 753
"2014-10-27" 12.55 715
"2014-10-26" 11.96 768
"2014-10-25" 24.49 778
"2014-10-24" 22.88 772
"2014-10-23" 25.36 766
"2014-10-22" 23.78 759
"2014-10-21" 21.54 734
"2014-10-20" 14.24 714
"2014-10-19" 12.27 766
"2014-10-18" 20.89 745
"2014-10-17" 9.18 670
"2014-10-16" 18.89 671
"2014-10-15" 25.12 731
"2014-10-14" 22.1 746
"2014-10-13" 24.87 747
"2014-10-12" 24.56 736
"2014-10-11" 19.63 731
"2014-10-10" 24.78 732
"2014-10-09" 24.93 728
"2014-10-08" 18.45 692
"2014-10-07" 23.31 718
"2014-10-06" 18.3 701
"2014-10-05" 18.08 705
"2014-10-04" 17.69 716
"2014-10-03" 13.88 676
"2014-10-02" 8.98 668
"2014-10-01" 23.79 710
"2014-09-30" 23.55 710
"2014-09-29" 23.94 705
"2014-09-28" 8.28 666
"2014-09-27" 8.6 634
"2014-09-26" 14.04 694
"2014-09-25" 22.03 693
"2014-09-24" 22.67 694
"2014-09-23" 20.55 692
"2014-09-22" 21.52 679
"2014-09-21" 14.92 686
"2014-09-20" 11.26 654
"2014-09-19" 13.36 650
"2014-09-18" 6.5 655
"2014-09-17" 19.47 661
"2014-09-16" 10.04 652
"2014-09-15" 16.44 652
"2014-09-14" 12.89 644
"2014-09-13" 12.4 608
"2014-09-12" 10.49 600
"2014-09-11" 5.04 643
"2014-09-10" 15.01 646
"2014-09-09" 15 630
"2014-09-08" 20.12 648
"2014-09-07" 11.07 633
"2014-09-06" 15.93 636
"2014-09-05" 8.32 613
"2014-09-04" 13.08 611
"2014-09-03" 18.28 621
"2014-09-02" 18.81 632
"2014-09-01" 17.26 628
"2014-08-31" 14.46 627
"2014-08-30" 13.86 617
"2014-08-29" 15.45 612
"2014-08-28" 18.17 617
"2014-08-27" 9.48 284
"2014-08-26" 8.15 584
"2014-08-25" 0 0
"2014-08-24" 3.41 233
"2014-08-23" 17.16 599
"2014-08-22" 15.94 599
"2014-08-21" 14.5 598
"2014-08-20" 7.52 593
"2014-08-19" 6.11 566
"2014-08-18" 16.57 586
"2014-08-17" 7.9 576
"2014-08-16" 16.85 595
"2014-08-15" 14.34 586
"2014-08-14" 7.99 513
"2014-08-13" 10.71 548
"2014-08-12" 13.48 571
"2014-08-11" 5.1 533
"2014-08-10" 15.71 576
"2014-08-09" 16.38 570
"2014-08-08" 15.06 564
"2014-08-07" 3.82 523
"2014-08-06" 13.44 555
"2014-08-05" 15.47 560
"2014-08-04" 15.51 550
"2014-08-03" 8.2 569
"2014-08-02" 4.12 491
"2014-08-01" 11.26 551
"2014-07-31" 6.32 537
"2014-07-30" 7.85 536
"2014-07-29" 2.53 506
"2014-07-28" 14.27 538
"2014-07-27" 13.48 548
"2014-07-26" 13.72 536
"2014-07-25" 14.09 539
"2014-07-24" 13.83 528
"2014-07-23" 6.21 522
"2014-07-22" 13.95 539
"2014-07-21" 8.59 537
"2014-07-20" 2.1 513
"2014-07-19" 12.74 530
"2014-07-18" 9.01 540
"2014-07-17" 13.56 529
"2014-07-16" 12.18 531
"2014-07-15" 12.42 525
"2014-07-14" 12.32 517
"2014-07-13" 8.84 538
"2014-07-12" 0.67 416
"2014-07-11" 2.92 484
"2014-07-10" 4.04 530
"2014-07-09" 5.08 512
"2014-07-08" 10.72 517
"2014-07-07" 9.81 503
"2014-07-06" 10.95 520
"2014-07-05" 12.38 503
"2014-07-04" 12.42 510
"2014-07-03" 9.79 520
"2014-07-02" 11.5 509
"2014-07-01" 7.19 519
"2014-06-30" 4.89 430
"2014-06-29" 11.59 516
"2014-06-28" 12.31 501
"2014-06-27" 5.36 520
"2014-06-26" 4.74 498
"2014-06-25" 0.29 238
"2014-06-24" 3.32 468
